County,Min Latitude,Max Latitude,Min Longitude,Max Longitude
Alameda,37.454186,37.905824,-122.373782,-121.469214
Alpine,38.32688,38.933324,-120.073331,-119.542332
Amador,38.217951,38.709029,-121.02771,-120.072333
Butte,39.295621,40.152024,-122.069431,-121.076695
Calaveras,37.831858,38.509869,-120.9955,-120.019951
Colusa,38.92384,39.414593,-122.78509,-121.795318
Contra Costa,37.718629,38.099878,-122.441584,-121.534102
Del Norte,41.380776,42.000787,-124.440707,-123.517911
El Dorado,38.502349,39.067489,-121.141595,-119.877248
Fresno,35.906914,37.585837,-120.918731,-118.360586
Glenn,39.382946,39.800561,-122.938413,-121.856381
Humboldt,40.001248,41.465846,-124.482003,-123.40604
Imperial,32.61848,33.433814,-116.106272,-114.46289
Inyo,35.786762,37.465238,-118.790031,-115.648357
Kern,34.790609,35.798202,-120.194152,-117.616195
Kings,35.788678,36.488962,-120.315068,-119.474354
Lake,38.667506,39.5814,-123.094216,-122.340172
Lassen,39.707658,41.184514,-121.332338,-119.995598
Los Angeles,32.75004,34.823302,-118.951721,-117.646374
Madera,36.763047,37.777986,-120.545536,-119.022363
Marin,37.814947,38.321227,-123.134523,-122.347454
Mariposa,37.183108,37.904122,-120.395441,-119.307284
Mendocino,38.758119,40.00247,-124.134889,-122.821355
Merced,36.740381,37.633364,-121.248647,-120.052055
Modoc,41.183484,41.997465,-121.457213,-119.998287
Mono,37.462588,38.713212,-119.651509,-117.832726
Monterey,35.788977,36.919683,-122.051878,-120.213979
Napa,38.154933,38.864245,-122.646421,-122.061379
Nevada,39.00516,39.52692,-121.279784,-120.003773
Orange,33.333992,33.947668,-118.1259,-117.412987
Placer,38.711395,39.316496,-121.484442,-120.002461
Plumas,39.597264,40.449715,-121.49788,-120.099339
Riverside,33.425888,34.079884,-117.676286,-114.434949
Sacramento,38.018421,38.736405,-121.862622,-121.027084
San Benito,36.196848,36.988944,-121.644001,-120.596562
San Bernardino,33.870831,35.809236,-117.802539,-114.131211
San Diego,32.528832,33.505025,-117.611081,-116.08094
San Francisco,37.63983,37.929824,-123.173825,-122.28178
San Joaquin,37.481783,38.300252,-121.585078,-120.917007
San Luis Obispo,34.897475,35.796655,-121.438176,-119.472515
San Mateo,37.053858,37.708431,-122.588177,-122.081473
Santa Barbara,33.411024,35.114678,-120.734382,-118.962728
Santa Clara,36.892976,37.484637,-122.202653,-121.208178
Santa Cruz,36.8196,37.286055,-122.317682,-121.581154
Shasta,40.285375,41.184978,-123.068838,-121.319976
Sierra,39.391558,39.776877,-121.058203,-120.00082
Siskiyou,40.992193,42.009503,-123.719174,-121.445994
Solano,38.031721,38.53905,-122.40697,-121.593273
Sonoma,38.07326,38.852916,-123.632497,-122.347454
Stanislaus,37.134774,38.077421,-121.486775,-120.387329
Sutter,38.734598,39.305668,-121.948294,-121.414375
Tehama,39.797385,40.453133,-123.066009,-121.342264
Trinity,39.977015,41.368139,-123.623891,-122.445453
Tulare,35.789161,36.744816,-119.573194,-117.980761
Tuolumne,37.633704,38.433521,-120.653274,-119.196182
Ventura,33.163493,34.901274,-119.636302,-118.632495
Yolo,38.313048,38.92593,-122.422048,-121.501017
Yuba,38.918348,39.639459,-121.636368,-121.009477
